Recombinant ternary DES;Profile-Hydrogen donor;Profile-Hydrogen accept;LCCs interaction potential;Cosmovolume;Density;Solubility (log);Formula weight;Viscosity (In);Time;Temperature;Predicted delignification
cholinechloride[1]lacidacid[2]glycol[1];  0.0114805;  0.0206165;  -15.216776;  135.5417994275;  0.98559361;  -1.89481026111111;  80.4492575;  -2.10328675104504;  2;  120;  78.05
cholinechloride[1]lacidacid[2]propanediol[1];  0.0136395;  0.0220195;  -15.40657;  142.87996822;  0.97572874;  -1.82654818555556;  83.955925;  -2.09909657962103;  2;  120;  74.69
cholinechloride[1]lacidacid[2]xylitol[1];  0.0250575;  0.0399735;  -14.98385;  163.0340360925;  1.04876119;  -2.18873029555556;  102.968835;  5.4477637145047;  2;  120;  54.36
cholinechloride[1]lacidacid[5]benzylalcohol[1];  0.0172206428571429;  0.0124825714285714;  -17.571298;  173.924941168333;  1.11093216;  -1.21576802222222;  116.359088333333;  3.95259185166182;  2;  120;  56.25
cholinechloride[1]lacidacid[5]butanediol[1];  0.0128717142857143;  0.0129080714285714;  -17.07105;  221.471394008333;  1.13508436;  -1.39166404333333;  151.389825;  4.29712209088833;  2;  120;  72.5
cholinechloride[1]lacidacid[5]glycerol[1];  0.0182327142857143;  0.0140716428571428;  -16.49653;  165.36763957;  1.11479193;  -1.59053903555556;  111.018473333333;  5.41356912317346;  2;  120;  79.21
cholinechloride[1]lacidacid[5]glycol[1];  0.0179242857142857;  0.0138712142857143;  -16.675086;  160.664950271667;  1.12326016;  -1.53281464888889;  108.680695;  4.1905743866915;  2;  120;  81
cholinechloride[1]lacidacid[5]propanediol[1];  0.0135753571428571;  0.0142967142857143;  -16.785842;  208.211403111667;  1.14613532;  -1.50875929888889;  143.711431666667;  4.21140220846225;  2;  120;  78.3
cholinechloride[1]lacidacid[5]xylitol[1];  0.0181965714285714;  0.0139855;  -16.317336;  170.413089826667;  1.10456587;  -1.73490211555556;  113.356253333333;  8.08311202373914;  2;  120;  49.19
cholinechloride[1]Levulinicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -16.233246;  196.7129083775;  1.01296049;  -1.22973978;  119.9986275;  7.83921227466489;  2;  120;  39.1
